Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
5.023007E-1	8.806423E-5	5.703799E+3	4.423472E-5	0.000000E+0
-9.995426E-1	-2.117716E-9	4.719909E+8	2.116747E-9	2.050800E-1
-2.001363E+0	-2.567155E-9	7.796035E+8	5.137809E-9	3.085900E-1
-2.999246E+0	-2.886366E-9	1.039108E+9	8.656922E-9	4.062500E-1
-4.001197E+0	-3.155569E-9	1.267980E+9	1.262605E-8	5.029300E-1
-4.999368E+0	-3.400690E-9	1.470104E+9	1.700130E-8	6.054700E-1
-6.001072E+0	-3.624820E-9	1.655550E+9	2.175281E-8	7.021500E-1
-6.999133E+0	-3.848230E-9	1.818793E+9	2.693427E-8	7.988300E-1
-8.000926E+0	-4.067754E-9	1.966915E+9	3.254580E-8	9.013700E-1
-8.999192E+0	-4.281449E-9	2.101903E+9	3.852958E-8	9.990200E-1
-1.000069E+1	-4.495567E-9	2.224567E+9	4.495877E-8	1.096680E+0
-1.099911E+1	-4.690674E-9	2.344889E+9	5.159324E-8	1.200190E+0
-1.200108E+1	-4.918815E-9	2.439832E+9	5.903109E-8	1.296870E+0
-1.299919E+1	-5.138046E-9	2.529987E+9	6.679044E-8	1.394530E+0
-1.400131E+1	-5.327156E-9	2.628290E+9	7.458716E-8	1.499020E+0
-1.499999E+1	-5.497852E-9	2.728336E+9	8.246773E-8	1.596680E+0
-1.600177E+1	-5.671756E-9	2.821308E+9	9.075814E-8	1.694330E+0
-1.699996E+1	-5.860020E-9	2.901007E+9	9.962011E-8	1.797850E+0
-1.800197E+1	-6.016056E-9	2.992321E+9	1.083009E-7	1.895510E+0
-1.900070E+1	-6.154986E-9	3.087042E+9	1.169490E-7	1.993160E+0
-2.000153E+1	-6.064847E-9	3.297945E+9	1.213062E-7	2.096680E+0
-2.100039E+1	-6.382958E-9	3.290072E+9	1.340446E-7	2.192380E+0
-2.200225E+1	-6.477871E-9	3.396525E+9	1.425277E-7	2.289060E+0
-2.300041E+1	-6.710072E-9	3.427744E+9	1.543344E-7	2.392580E+0
-2.400232E+1	-6.877978E-9	3.489735E+9	1.650874E-7	2.490230E+0
-2.500080E+1	-7.137207E-9	3.502883E+9	1.784359E-7	2.588870E+0
-2.600269E+1	-7.102783E-9	3.660916E+9	1.846915E-7	2.693360E+0
-2.700116E+1	-7.166439E-9	3.767723E+9	1.935022E-7	2.790040E+0
-2.800300E+1	-7.249486E-9	3.862757E+9	2.030074E-7	2.886720E+0
-2.900171E+1	-7.332151E-9	3.955416E+9	2.126449E-7	2.991210E+0
-3.000304E+1	-7.319223E-9	4.099211E+9	2.195989E-7	3.088870E+0
-3.100150E+1	-7.603544E-9	4.077243E+9	2.357213E-7	3.192380E+0
-3.200338E+1	-8.056875E-9	3.972183E+9	2.578472E-7	3.295900E+0
-3.300179E+1	-7.912577E-9	4.170802E+9	2.611292E-7	3.392580E+0
-3.400302E+1	-7.942740E-9	4.281019E+9	2.700771E-7	3.489260E+0
-3.500142E+1	-7.936741E-9	4.410049E+9	2.777972E-7	3.592770E+0
-3.600317E+1	-8.106759E-9	4.441130E+9	2.918690E-7	3.689450E+0
-3.700129E+1	-8.255656E-9	4.481932E+9	3.054699E-7	3.788090E+0
-3.800314E+1	-8.335153E-9	4.559381E+9	3.167620E-7	3.892580E+0
-3.900155E+1	-8.423351E-9	4.630170E+9	3.285237E-7	3.989260E+0
-4.000338E+1	-8.509735E-9	4.700896E+9	3.404182E-7	4.085940E+0
-4.100213E+1	-8.655005E-9	4.737390E+9	3.548736E-7	4.189450E+0
-4.200374E+1	-8.842210E-9	4.750367E+9	3.714059E-7	4.287110E+0
-4.300248E+1	-8.864935E-9	4.850851E+9	3.812142E-7	4.383790E+0
-4.400385E+1	-8.905657E-9	4.941112E+9	3.918832E-7	4.488280E+0
-4.500224E+1	-8.963275E-9	5.020736E+9	4.033675E-7	4.584960E+0
-4.600432E+1	-9.082853E-9	5.064964E+9	4.178505E-7	4.681640E+0
-4.700200E+1	-9.237705E-9	5.088060E+9	4.341906E-7	4.785160E+0
-4.800405E+1	-9.346813E-9	5.135874E+9	4.486849E-7	4.881840E+0
-4.900237E+1	-9.450136E-9	5.185361E+9	4.630791E-7	4.979490E+0
-5.000409E+1	-9.471045E-9	5.279680E+9	4.735910E-7	5.083010E+0
-5.100235E+1	-9.571496E-9	5.328566E+9	4.881688E-7	5.179690E+0
-5.200418E+1	-9.678532E-9	5.373147E+9	5.033241E-7	5.275390E+0
-5.300249E+1	-9.855180E-9	5.378135E+9	5.223491E-7	5.379880E+0
-5.400444E+1	-9.957950E-9	5.423249E+9	5.377735E-7	5.476560E+0
-5.500311E+1	-1.004992E-8	5.472990E+9	5.527769E-7	5.573240E+0
-5.600469E+1	-1.007931E-8	5.556401E+9	5.644886E-7	5.676760E+0
-5.700304E+1	-1.019975E-8	5.588670E+9	5.814168E-7	5.774410E+0
-5.800500E+1	-1.030518E-8	5.628723E+9	5.977520E-7	5.871090E+0
-5.900350E+1	-1.048292E-8	5.628537E+9	6.185290E-7	5.973630E+0
-6.000529E+1	-1.057733E-8	5.673009E+9	6.346958E-7	6.071290E+0
-6.100312E+1	-1.068204E-8	5.710812E+9	6.516378E-7	6.168940E+0
-6.200505E+1	-1.075981E-8	5.762653E+9	6.671626E-7	6.272460E+0
-6.300383E+1	-1.088644E-8	5.787368E+9	6.858874E-7	6.369140E+0
-6.400501E+1	-1.101389E-8	5.811299E+9	7.049441E-7	6.465820E+0
-6.500383E+1	-1.118352E-8	5.812466E+9	7.269716E-7	6.569340E+0
-6.600555E+1	-1.127523E-8	5.854031E+9	7.442278E-7	6.666010E+0
-6.700391E+1	-1.137754E-8	5.889139E+9	7.623397E-7	6.762690E+0
-6.800607E+1	-1.152723E-8	5.899602E+9	7.839216E-7	6.866210E+0
-6.900457E+1	-1.168226E-8	5.906783E+9	8.061293E-7	6.962890E+0
-7.000658E+1	-1.185122E-8	5.907120E+9	8.296634E-7	7.058590E+0
-7.100460E+1	-1.196362E-8	5.935043E+9	8.494721E-7	7.163080E+0
-7.200642E+1	-1.208511E-8	5.958276E+9	8.702055E-7	7.259760E+0
-7.300513E+1	-1.221199E-8	5.978152E+9	8.915379E-7	7.356440E+0
-7.400619E+1	-1.246916E-8	5.935138E+9	9.227950E-7	7.459960E+0
-7.500468E+1	-1.265135E-8	5.928591E+9	9.489105E-7	7.557620E+0
-7.600658E+1	-1.284350E-8	5.917902E+9	9.761905E-7	7.655270E+0
