Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
5.109200E-3	-4.579568E-10	-1.115651E+7	-2.339793E-12	0.000000E+0
1.006241E-2	-4.906511E-10	-2.050828E+7	-4.937133E-12	1.000000E-1
1.999839E-2	-5.178540E-10	-3.861782E+7	-1.035625E-11	1.900000E-1
2.991579E-2	-5.609395E-10	-5.333158E+7	-1.678095E-11	2.900000E-1
4.017692E-2	-5.536318E-10	-7.256975E+7	-2.224322E-11	3.900000E-1
5.007657E-2	-5.512241E-10	-9.084612E+7	-2.760341E-11	5.000000E-1
6.000409E-2	-5.117713E-10	-1.172479E+8	-3.070837E-11	5.900000E-1
6.992664E-2	-5.422270E-10	-1.289619E+8	-3.791611E-11	6.900000E-1
8.018018E-2	-5.057733E-10	-1.585299E+8	-4.055299E-11	7.900000E-1
9.008400E-2	-5.537585E-10	-1.626774E+8	-4.988478E-11	8.900000E-1
1.000200E-1	-5.179385E-10	-1.931117E+8	-5.180421E-11	9.900000E-1
1.099341E-1	-5.650369E-10	-1.945609E+8	-6.211682E-11	1.090000E+0
1.201791E-1	-5.426070E-10	-2.214846E+8	-6.521002E-11	1.180000E+0
1.300939E-1	-5.522378E-10	-2.355759E+8	-7.184277E-11	1.280000E+0
1.400207E-1	-4.922140E-10	-2.844712E+8	-6.892015E-11	1.390000E+0
1.499398E-1	-5.079275E-10	-2.951992E+8	-7.615855E-11	1.480000E+0
1.601900E-1	-4.556337E-10	-3.515763E+8	-7.298796E-11	1.580000E+0
1.700938E-1	-4.332883E-10	-3.925650E+8	-7.369965E-11	1.680000E+0
1.799968E-1	-5.037457E-10	-3.573168E+8	-9.067261E-11	1.780000E+0
1.899581E-1	-5.523224E-10	-3.439261E+8	-1.049181E-10	1.880000E+0
2.001777E-1	-5.364398E-10	-3.731597E+8	-1.073833E-10	1.980000E+0
2.101131E-1	-4.484950E-10	-4.684848E+8	-9.423467E-11	2.070000E+0
2.200169E-1	-4.340909E-10	-5.068452E+8	-9.550733E-11	2.180000E+0
2.299462E-1	-4.052405E-10	-5.674314E+8	-9.318351E-11	2.280000E+0
2.401963E-1	-5.442544E-10	-4.413309E+8	-1.307279E-10	2.370000E+0
2.501111E-1	-5.087723E-10	-4.915973E+8	-1.272496E-10	2.470000E+0
2.600050E-1	-5.358486E-10	-4.852210E+8	-1.393233E-10	2.570000E+0
2.699122E-1	-5.737807E-10	-4.704100E+8	-1.548704E-10	2.670000E+0
2.801505E-1	-7.034593E-10	-3.982469E+8	-1.970745E-10	2.780000E+0
2.900796E-1	-4.931855E-10	-5.881754E+8	-1.430631E-10	2.870000E+0
2.999880E-1	-5.372003E-10	-5.584286E+8	-1.611536E-10	2.960000E+0
3.099238E-1	-5.036189E-10	-6.153935E+8	-1.560835E-10	3.070000E+0
3.201623E-1	-5.707816E-10	-5.609191E+8	-1.827427E-10	3.170000E+0
3.300906E-1	-4.719808E-10	-6.993729E+8	-1.557964E-10	3.260000E+0
3.399901E-1	-4.558871E-10	-7.457770E+8	-1.549971E-10	3.370000E+0
3.498966E-1	-4.491708E-10	-7.789834E+8	-1.571633E-10	3.460000E+0
3.601788E-1	-3.843737E-10	-9.370537E+8	-1.384433E-10	3.570000E+0
3.700801E-1	-4.340064E-10	-8.527065E+8	-1.606171E-10	3.670000E+0
3.800061E-1	-5.132076E-10	-7.404530E+8	-1.950220E-10	3.760000E+0
3.899279E-1	-5.307798E-10	-7.346321E+8	-2.069659E-10	3.860000E+0
4.001821E-1	-5.788073E-10	-6.913909E+8	-2.316283E-10	3.960000E+0
4.100893E-1	-5.337787E-10	-7.682759E+8	-2.188969E-10	4.070000E+0
4.200051E-1	-5.299349E-10	-7.925598E+8	-2.225754E-10	4.160000E+0
4.299106E-1	-5.572223E-10	-7.715244E+8	-2.395558E-10	4.260000E+0
4.401735E-1	-5.846365E-10	-7.529012E+8	-2.573415E-10	4.360000E+0
4.500857E-1	-6.210901E-10	-7.246705E+8	-2.795438E-10	4.460000E+0
4.600065E-1	-5.905501E-10	-7.789458E+8	-2.716569E-10	4.560000E+0
4.699265E-1	-5.657971E-10	-8.305566E+8	-2.658831E-10	4.660000E+0
4.801919E-1	-4.987191E-10	-9.628504E+8	-2.394809E-10	4.750000E+0
4.901000E-1	-4.834280E-10	-1.013801E+9	-2.369281E-10	4.860000E+0
5.000217E-1	-4.976208E-10	-1.004825E+9	-2.488212E-10	4.960000E+0
5.099152E-1	-5.525336E-10	-9.228673E+8	-2.817453E-10	5.050000E+0
