Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
2.495236E-1	-5.378760E-10	-4.639054E+8	-1.342128E-10	0.000000E+0
-5.002122E-1	-5.670642E-10	8.821086E+8	2.836524E-10	1.000000E-1
-9.995005E-1	-5.431560E-10	1.840172E+9	5.428847E-10	2.000000E-1
-1.498713E+0	-6.029687E-10	2.485557E+9	9.036770E-10	3.000000E-1
-2.001286E+0	-6.238777E-10	3.207818E+9	1.248558E-9	4.000000E-1
-2.500584E+0	-6.482506E-10	3.857434E+9	1.621005E-9	5.000000E-1
-2.999290E+0	-6.052919E-10	4.955113E+9	1.815446E-9	5.900000E-1
-3.498392E+0	-6.194847E-10	5.647261E+9	2.167200E-9	7.000000E-1
-4.001305E+0	-5.947318E-10	6.727915E+9	2.379703E-9	8.000000E-1
-4.500339E+0	-6.312276E-10	7.129503E+9	2.840738E-9	9.000000E-1
-4.999468E+0	-5.792296E-10	8.631237E+9	2.895840E-9	1.000000E+0
-5.498839E+0	-6.226950E-10	8.830710E+9	3.424100E-9	1.090000E+0
-6.001170E+0	-6.324526E-10	9.488727E+9	3.795456E-9	1.190000E+0
-6.499928E+0	-6.833104E-10	9.512409E+9	4.441468E-9	1.300000E+0
-6.999190E+0	-7.024031E-10	9.964634E+9	4.916253E-9	1.400000E+0
-7.498443E+0	-7.075986E-10	1.059703E+10	5.305888E-9	1.490000E+0
-8.000929E+0	-7.714662E-10	1.037107E+10	6.172446E-9	1.590000E+0
-8.500016E+0	-8.491045E-10	1.001057E+10	7.217402E-9	1.690000E+0
-8.999238E+0	-1.076613E-9	8.358842E+9	9.688697E-9	1.790000E+0
-9.498220E+0	-1.284309E-9	7.395588E+9	1.219865E-8	1.890000E+0
-1.000087E+1	-1.785958E-9	5.599723E+9	1.786113E-8	1.990000E+0
-1.049992E+1	-2.607158E-9	4.027343E+9	2.737495E-8	2.090000E+0
-1.099920E+1	-3.784741E-9	2.906196E+9	4.162912E-8	2.190000E+0
-1.149847E+1	-5.359300E-9	2.145517E+9	6.162375E-8	2.300000E+0
-1.200112E+1	-7.084660E-9	1.693958E+9	8.502385E-8	2.390000E+0
-1.250013E+1	-9.932862E-9	1.258462E+9	1.241621E-7	2.490000E+0
-1.299933E+1	-1.393190E-8	9.330623E+8	1.811054E-7	2.590000E+0
-1.349878E+1	-1.859568E-8	7.259095E+8	2.510190E-7	2.690000E+0
-1.400134E+1	-2.389688E-8	5.859066E+8	3.345883E-7	2.800000E+0
-1.450045E+1	-2.975338E-8	4.873547E+8	4.314374E-7	2.890000E+0
-1.500008E+1	-3.841513E-8	3.904732E+8	5.762300E-7	2.980000E+0
-1.549945E+1	-4.700243E-8	3.297585E+8	7.285118E-7	3.090000E+0
-1.600188E+1	-5.663313E-8	2.825533E+8	9.062366E-7	3.190000E+0
-1.650090E+1	-6.711392E-8	2.458640E+8	1.107440E-6	3.280000E+0
-1.700016E+1	-7.993660E-8	2.126705E+8	1.358935E-6	3.390000E+0
-1.749963E+1	-8.976896E-8	1.949408E+8	1.570924E-6	3.480000E+0
-1.800210E+1	-1.045642E-7	1.721631E+8	1.882375E-6	3.580000E+0
-1.850150E+1	-1.215815E-7	1.521736E+8	2.249440E-6	3.690000E+0
-1.900091E+1	-1.209751E-7	1.570646E+8	2.298637E-6	3.790000E+0
-1.950003E+1	-1.553374E-7	1.255334E+8	3.029084E-6	3.880000E+0
-2.000187E+1	-1.723986E-7	1.160211E+8	3.448294E-6	3.980000E+0
-2.050153E+1	-1.996038E-7	1.027111E+8	4.092183E-6	4.080000E+0
-2.100080E+1	-2.235016E-7	9.396264E+7	4.693712E-6	4.180000E+0
-2.150010E+1	-2.533718E-7	8.485593E+7	5.447519E-6	4.280000E+0
-2.200271E+1	-2.508199E-7	8.772314E+7	5.518718E-6	4.380000E+0
-2.250203E+1	-2.919545E-7	7.707376E+7	6.569569E-6	4.480000E+0
-2.300108E+1	-3.648941E-7	6.303495E+7	8.392958E-6	4.580000E+0
-2.350034E+1	-3.915745E-7	6.001499E+7	9.202134E-6	4.680000E+0
-2.400305E+1	-4.159725E-7	5.770345E+7	9.984609E-6	4.780000E+0
-2.450250E+1	-4.762242E-7	5.145161E+7	1.166868E-5	4.880000E+0
