Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
5.015244E-3	1.824862E-10	2.748287E+7	9.152128E-13	0.000000E+0
1.000595E-2	5.070824E-11	1.973239E+8	5.073841E-13	1.055000E-1
2.002518E-2	2.519704E-11	7.947434E+8	5.045753E-13	2.012000E-1
3.000363E-2	-1.918798E-12	-1.563668E+10	-5.757091E-14	2.988000E-1
3.999061E-2	9.556328E-11	4.184726E+8	3.821634E-12	4.033000E-1
5.000745E-2	1.032078E-10	4.845317E+8	5.161159E-12	4.990000E-1
5.998535E-2	1.516958E-10	3.954318E+8	9.099526E-12	5.967000E-1
7.000346E-2	2.118450E-11	3.304466E+9	1.482988E-12	7.002000E-1
7.998750E-2	2.984313E-11	2.680265E+9	2.387077E-12	7.959000E-1
9.000608E-2	3.693892E-11	2.436619E+9	3.324727E-12	8.935000E-1
9.998544E-2	2.129811E-10	4.694569E+8	2.129501E-11	9.971000E-1
1.100037E-1	2.450811E-10	4.488461E+8	2.695983E-11	1.094700E+0
1.199895E-1	2.768429E-10	4.334209E+8	3.321824E-11	1.190400E+0
1.300063E-1	1.853162E-10	7.015377E+8	2.409227E-11	1.293900E+0
1.399912E-1	2.684375E-10	5.215039E+8	3.757889E-11	1.391600E+0
1.500121E-1	4.023699E-10	3.728214E+8	6.036035E-11	1.488300E+0
1.599966E-1	6.674464E-10	2.397145E+8	1.067892E-10	1.592800E+0
1.700147E-1	8.480929E-10	2.004671E+8	1.441883E-10	1.689400E+0
1.799999E-1	1.080183E-9	1.666383E+8	1.944328E-10	1.785200E+0
1.900176E-1	1.342599E-9	1.415297E+8	2.551174E-10	1.890600E+0
1.999979E-1	1.814804E-9	1.102036E+8	3.629570E-10	1.986300E+0
2.100161E-1	2.428249E-9	8.648870E+7	5.099714E-10	2.084000E+0
2.200013E-1	3.204983E-9	6.864352E+7	7.051004E-10	2.187500E+0
2.300181E-1	4.135029E-9	5.562672E+7	9.511315E-10	2.285200E+0
2.400047E-1	5.499441E-9	4.364165E+7	1.319892E-9	2.381800E+0
2.500206E-1	7.339268E-9	3.406615E+7	1.834968E-9	2.485300E+0
2.600092E-1	9.674873E-9	2.687469E+7	2.515556E-9	2.583000E+0
2.700270E-1	1.258219E-8	2.146105E+7	3.397531E-9	2.679700E+0
2.800124E-1	1.614341E-8	1.734531E+7	4.520355E-9	2.784200E+0
2.900311E-1	2.083564E-8	1.391995E+7	6.042984E-9	2.880900E+0
3.000111E-1	2.683767E-8	1.117873E+7	8.051599E-9	2.976600E+0
3.100307E-1	3.483009E-8	8.901232E+6	1.079840E-8	3.081000E+0
3.200147E-1	4.477139E-8	7.147750E+6	1.432750E-8	3.178700E+0
3.300326E-1	5.732610E-8	5.757109E+6	1.891948E-8	3.274400E+0
3.400144E-1	7.313385E-8	4.649207E+6	2.486656E-8	3.377900E+0
3.500325E-1	9.342160E-8	3.746805E+6	3.270060E-8	3.475600E+0
3.600172E-1	1.191136E-7	3.022469E+6	4.288294E-8	3.571300E+0
3.700319E-1	1.519405E-7	2.435374E+6	5.622283E-8	3.676800E+0
3.800187E-1	1.929542E-7	1.969476E+6	7.332620E-8	3.772500E+0
3.900018E-1	2.448945E-7	1.592530E+6	9.550930E-8	3.869100E+0
4.000231E-1	3.106293E-7	1.287783E+6	1.242589E-7	3.972600E+0
4.100117E-1	3.936668E-7	1.041520E+6	1.614080E-7	4.070300E+0
4.200327E-1	4.990107E-7	8.417308E+5	2.096008E-7	4.167000E+0
4.300197E-1	6.317769E-7	6.806512E+5	2.716765E-7	4.272500E+0
4.400371E-1	8.002685E-7	5.498618E+5	3.521478E-7	4.369100E+0
4.500120E-1	1.012535E-6	4.444409E+5	4.556529E-7	4.466800E+0
4.600312E-1	1.283159E-6	3.585146E+5	5.902932E-7	4.758800E+0
4.700088E-1	1.624855E-6	2.892620E+5	7.636961E-7	4.863300E+0
4.800291E-1	2.061157E-6	2.328930E+5	9.894153E-7	4.959000E+0
4.900146E-1	2.614826E-6	1.873985E+5	1.281303E-6	5.054700E+0
5.000323E-1	3.323479E-6	1.504545E+5	1.661847E-6	5.160200E+0
5.100181E-1	4.226664E-6	1.206668E+5	2.155675E-6	5.256800E+0
5.200357E-1	5.388297E-6	9.651207E+4	2.802107E-6	5.352500E+0
5.300274E-1	6.876893E-6	7.707367E+4	3.644942E-6	5.456000E+0
5.400466E-1	8.801790E-6	6.135645E+4	4.753377E-6	5.553700E+0
5.500200E-1	1.126973E-5	4.880507E+4	6.198577E-6	5.833000E+0
5.600414E-1	1.449308E-5	3.864199E+4	8.116725E-6	5.936500E+0
5.700228E-1	1.867152E-5	3.052900E+4	1.064319E-5	6.034200E+0
5.800430E-1	2.414636E-5	2.402196E+4	1.400593E-5	6.130900E+0
5.900302E-1	3.129515E-5	1.885373E+4	1.846508E-5	6.235300E+0
6.000497E-1	4.071970E-5	1.473610E+4	2.443384E-5	6.331000E+0
6.100289E-1	5.309097E-5	1.149026E+4	3.238703E-5	6.428700E+0
6.200529E-1	6.952180E-5	8.918827E+3	4.310719E-5	6.533200E+0
6.300431E-1	9.122743E-5	6.906290E+3	5.747721E-5	6.629900E+0
6.400461E-1	1.200588E-4	5.331105E+3	7.684317E-5	6.909200E+0
6.500321E-1	1.583613E-4	4.104741E+3	1.029399E-4	7.013700E+0
6.600510E-1	2.095376E-4	3.150036E+3	1.383055E-4	7.109400E+0
6.700385E-1	2.774953E-4	2.414594E+3	1.859325E-4	7.206000E+0
6.800620E-1	3.682979E-4	1.846500E+3	2.504654E-4	7.310500E+0
6.900474E-1	4.885921E-4	1.412318E+3	3.371517E-4	7.407200E+0
7.000702E-1	6.487555E-4	1.079097E+3	4.541744E-4	7.503900E+0
7.100568E-1	8.595812E-4	8.260497E+2	6.103515E-4	7.608400E+0
7.200604E-1	1.137646E-3	6.329389E+2	8.191738E-4	7.885700E+0
7.300491E-1	1.499830E-3	4.867546E+2	1.094950E-3	7.990200E+0
7.400609E-1	1.970477E-3	3.755745E+2	1.458273E-3	8.085900E+0
7.500498E-1	2.574017E-3	2.913927E+2	1.930641E-3	8.181600E+0
7.600352E-1	3.341574E-3	2.274483E+2	2.539714E-3	8.287100E+0
7.700558E-1	4.311308E-3	1.786130E+2	3.319948E-3	8.382800E+0
7.800400E-1	5.514228E-3	1.414595E+2	4.301318E-3	8.479500E+0
7.900619E-1	7.000581E-3	1.128566E+2	5.530892E-3	8.584000E+0
8.000488E-1	8.801796E-3	9.089609E+1	7.041866E-3	8.680700E+0
8.100542E-1	1.100447E-2	7.361138E+1	8.914217E-3	8.956000E+0
8.200422E-1	1.357334E-2	6.041565E+1	1.113071E-2	9.061500E+0
8.300596E-1	1.660169E-2	4.999850E+1	1.378039E-2	9.157200E+0
8.400448E-1	2.010102E-2	4.179115E+1	1.688576E-2	9.253900E+0
8.500648E-1	2.412637E-2	3.523385E+1	2.050898E-2	9.358400E+0
8.600522E-1	2.865769E-2	3.001122E+1	2.464711E-2	9.455100E+0
8.700706E-1	3.373598E-2	2.579058E+1	2.935268E-2	9.550800E+0
8.800524E-1	3.933228E-2	2.237481E+1	3.461447E-2	9.656200E+0
8.900731E-1	4.545766E-2	1.958027E+1	4.046064E-2	9.751900E+0
