Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
1.000132E-1	9.733739E-11	1.027490E+9	9.735024E-12	0.000000E+0
-2.001425E-1	3.719200E-11	-5.381332E+9	-7.443700E-12	1.064000E-1
-4.001342E-1	2.371844E-11	-1.687017E+10	-9.490559E-12	2.031000E-1
-6.001303E-1	1.649614E-11	-3.638004E+10	-9.899833E-12	2.998000E-1
-8.001082E-1	-1.138017E-11	7.030723E+10	9.105367E-12	4.043000E-1
-1.000101E+0	7.795126E-12	-1.282982E+11	-7.795913E-12	5.009000E-1
-1.200128E+0	1.941042E-11	-6.182906E+10	-2.329499E-11	5.966000E-1
-1.400159E+0	1.531369E-11	-9.143185E+10	-2.144160E-11	7.021000E-1
-1.600211E+0	-1.053507E-11	1.518937E+11	1.685833E-11	7.988000E-1
-1.800236E+0	-3.173825E-11	5.672134E+10	5.713634E-11	8.955000E-1
-2.000203E+0	1.987482E-11	-1.006401E+11	-3.975367E-11	1.000900E+0
-2.200263E+0	1.860803E-11	-1.182427E+11	-4.094256E-11	1.096600E+0
-2.400280E+0	4.652620E-11	-5.158986E+10	-1.116759E-10	1.194300E+0
-2.600326E+0	-3.072440E-11	8.463391E+10	7.989346E-11	1.299800E+0
-2.800348E+0	-3.575043E-11	7.833047E+10	1.001136E-10	1.395500E+0
-3.000350E+0	-5.450357E-11	5.504869E+10	1.635298E-10	1.493100E+0
-3.200392E+0	3.803666E-11	-8.413967E+10	-1.217322E-10	1.597600E+0
-3.400320E+0	3.799436E-11	-8.949539E+10	-1.291930E-10	1.694300E+0
-3.600380E+0	4.665285E-11	-7.717385E+10	-1.679680E-10	1.792000E+0
-3.800363E+0	-5.061779E-11	7.507959E+10	1.923660E-10	1.896500E+0
-4.000391E+0	-5.171610E-11	7.735291E+10	2.068846E-10	1.993100E+0
-4.200433E+0	-4.778794E-11	8.789734E+10	2.007300E-10	2.090800E+0
-4.400447E+0	5.624068E-11	-7.824313E+10	-2.474841E-10	2.194300E+0
-4.600494E+0	3.727649E-11	-1.234154E+11	-1.714903E-10	2.292000E+0
-4.800468E+0	4.040193E-11	-1.188178E+11	-1.939482E-10	2.387700E+0
-5.000478E+0	-6.012105E-11	8.317350E+10	3.006340E-10	2.492200E+0
-5.200483E+0	-6.915959E-11	7.519540E+10	3.596633E-10	2.588800E+0
-5.400511E+0	-5.560158E-11	9.712873E+10	3.002769E-10	2.686500E+0
-5.600538E+0	4.547029E-11	-1.231692E+11	-2.546581E-10	2.791000E+0
-5.800570E+0	3.972594E-11	-1.460147E+11	-2.304331E-10	2.886700E+0
-6.000603E+0	1.560904E-11	-3.844313E+11	-9.366365E-11	2.984300E+0
-6.200592E+0	-6.345791E-11	9.771188E+10	3.934766E-10	3.088800E+0
-6.400583E+0	-4.901277E-11	1.305901E+11	3.137103E-10	3.185500E+0
-6.600623E+0	-4.584527E-11	1.439761E+11	3.026073E-10	3.281200E+0
-6.800682E+0	7.921885E-12	-8.584677E+11	-5.387422E-11	3.385700E+0
-7.000741E+0	1.333100E-12	-5.251475E+12	-9.332688E-12	3.483400E+0
-7.200727E+0	-1.121103E-11	6.422895E+11	8.072757E-11	3.580000E+0
-7.400707E+0	-4.749251E-11	1.558289E+11	3.514782E-10	3.684500E+0
-7.600748E+0	-3.870707E-11	1.963659E+11	2.942027E-10	3.780200E+0
-7.800725E+0	-3.102005E-11	2.514736E+11	2.419789E-10	3.877900E+0
-8.000765E+0	-1.661754E-11	4.814651E+11	1.329530E-10	3.981400E+0
-8.200807E+0	-3.587738E-11	2.285788E+11	2.942235E-10	4.079100E+0
-8.400814E+0	-5.180054E-11	1.621762E+11	4.351667E-10	4.175700E+0
-8.600850E+0	4.038714E-13	-2.129601E+13	-3.473637E-12	4.280200E+0
-8.800837E+0	8.133355E-12	-1.082067E+12	-7.158033E-11	4.377900E+0
-9.000888E+0	1.054071E-11	-8.539167E+11	-9.487575E-11	4.475600E+0
-9.200903E+0	-6.578069E-11	1.398724E+11	6.052417E-10	4.580000E+0
-9.400932E+0	-7.752252E-11	1.212671E+11	7.287839E-10	4.675700E+0
-9.600984E+0	-7.667786E-11	1.252119E+11	7.361829E-10	4.773400E+0
-9.800981E+0	1.936806E-11	-5.060383E+11	-1.898260E-10	4.878900E+0
-1.000100E+1	1.286377E-11	-7.774548E+11	-1.286506E-10	4.975600E+0
-1.020099E+1	-1.412553E-11	7.221669E+11	1.440944E-10	5.072200E+0
-1.040102E+1	-8.225304E-11	1.264515E+11	8.555155E-10	5.177700E+0
-1.060103E+1	-8.102813E-11	1.308315E+11	8.589816E-10	5.275400E+0
-1.080103E+1	-5.158926E-11	2.093659E+11	5.572171E-10	5.372000E+0
-1.100103E+1	-2.814801E-11	3.908280E+11	3.096571E-10	5.476500E+0
-1.120099E+1	-4.580297E-11	2.445472E+11	5.130386E-10	5.575200E+0
-1.140096E+1	-1.157889E-10	9.846332E+10	1.320105E-9	5.671800E+0
-1.160088E+1	-1.286709E-10	9.015931E+10	1.492696E-9	5.777300E+0
-1.180083E+1	-1.114807E-10	1.058554E+11	1.315565E-9	5.875000E+0
-1.200082E+1	-1.211108E-10	9.908959E+10	1.453429E-9	5.972600E+0
-1.220079E+1	-2.164388E-10	5.637062E+10	2.640724E-9	6.076100E+0
-1.240086E+1	-3.637180E-10	3.409471E+10	4.510416E-9	6.172800E+0
