Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
5.021825E-3	4.257118E-7	1.179630E+4	2.137850E-9	0.000000E+0
1.002223E-2	9.376540E-7	1.068862E+4	9.397384E-9	1.000000E-1
2.002813E-2	2.307360E-6	8.680106E+3	4.621211E-8	3.900000E-1
3.001020E-2	4.311812E-6	6.959997E+3	1.293983E-7	4.900000E-1
4.000214E-2	7.253379E-6	5.514966E+3	2.901507E-7	5.900000E-1
5.000742E-2	1.156460E-5	4.324181E+3	5.783158E-7	8.700000E-1
5.998637E-2	1.788351E-5	3.354284E+3	1.072767E-6	9.800000E-1
7.000706E-2	2.719695E-5	2.574078E+3	1.903979E-6	1.070000E+0
7.999302E-2	4.081989E-5	1.959658E+3	3.265306E-6	1.160000E+0
9.001643E-2	6.088992E-5	1.478347E+3	5.481093E-6	1.270000E+0
1.000002E-1	9.022265E-5	1.108371E+3	9.022283E-6	1.370000E+0
1.100046E-1	1.332397E-4	8.256143E+2	1.465698E-5	1.650000E+0
1.199925E-1	1.962292E-4	6.114916E+2	2.354603E-5	1.750000E+0
1.300107E-1	2.887679E-4	4.502256E+2	3.754292E-5	1.850000E+0
1.399986E-1	4.237434E-4	3.303853E+2	5.932348E-5	1.950000E+0
1.500224E-1	6.216474E-4	2.413304E+2	9.326103E-5	2.050000E+0
1.600132E-1	9.092615E-4	1.759815E+2	1.454938E-4	2.150000E+0
1.700166E-1	1.327378E-3	1.280845E+2	2.256763E-4	2.420000E+0
1.800034E-1	1.931909E-3	9.317385E+1	3.477502E-4	2.520000E+0
1.900225E-1	2.805123E-3	6.774124E+1	5.330365E-4	2.630000E+0
2.000047E-1	4.047596E-3	4.941321E+1	8.095382E-4	2.720000E+0
2.100261E-1	5.811399E-3	3.614037E+1	1.220545E-3	2.830000E+0
2.200146E-1	8.261861E-3	2.663015E+1	1.817730E-3	2.920000E+0
2.300187E-1	1.162074E-2	1.979381E+1	2.672988E-3	3.200000E+0
2.400068E-1	1.611306E-2	1.489517E+1	3.867244E-3	3.310000E+0
2.500238E-1	2.199559E-2	1.136700E+1	5.499421E-3	3.400000E+0
2.600127E-1	2.943574E-2	8.833231E+0	7.653666E-3	3.490000E+0
2.700328E-1	3.862746E-2	6.990695E+0	1.043068E-2	3.600000E+0
2.800201E-1	4.957632E-2	5.648263E+0	1.388237E-2	3.700000E+0
2.900414E-1	6.234796E-2	4.651979E+0	1.808349E-2	3.800000E+0
3.000242E-1	7.678396E-2	3.907381E+0	2.303705E-2	3.900000E+0
3.100482E-1	9.287131E-2	3.338471E+0	2.879458E-2	3.990000E+0
3.200063E-1	1.102892E-1	2.901520E+0	3.529324E-2	4.180000E+0
3.300246E-1	1.291124E-1	2.556103E+0	4.261027E-2	4.280000E+0
3.400057E-1	1.490277E-1	2.281493E+0	5.067027E-2	4.380000E+0
3.500231E-1	1.700452E-1	2.058412E+0	5.951975E-2	4.480000E+0
3.600084E-1	1.918555E-1	1.876456E+0	6.906959E-2	4.590000E+0
3.700233E-1	2.145580E-1	1.724584E+0	7.939146E-2	4.680000E+0
3.800093E-1	2.379252E-1	1.597180E+0	9.041379E-2	4.770000E+0
3.899906E-1	2.619177E-1	1.488981E+0	1.021454E-1	4.880000E+0
4.000107E-1	2.864948E-1	1.396223E+0	1.146010E-1	4.980000E+0
4.099978E-1	3.115135E-1	1.316148E+0	1.277198E-1	5.080000E+0
4.200171E-1	3.369997E-1	1.246343E+0	1.415456E-1	5.180000E+0
4.300011E-1	3.625068E-1	1.186188E+0	1.558783E-1	5.270000E+0
4.400160E-1	3.886062E-1	1.132293E+0	1.709929E-1	5.370000E+0
4.500025E-1	4.143504E-1	1.086043E+0	1.864587E-1	5.480000E+0
4.600236E-1	4.406709E-1	1.043916E+0	2.027190E-1	5.570000E+0
4.699988E-1	4.675810E-1	1.005171E+0	2.197625E-1	5.670000E+0
4.800194E-1	4.948537E-1	9.700229E-1	2.375394E-1	5.770000E+0
4.818561E-1	5.001792E-1	9.633669E-1	2.410144E-1	5.880000E+0
4.817511E-1	5.001805E-1	9.631545E-1	2.409625E-1	5.970000E+0
4.816506E-1	5.001804E-1	9.629538E-1	2.409122E-1	6.070000E+0
4.815658E-1	5.001798E-1	9.627854E-1	2.408695E-1	6.170000E+0
4.814894E-1	5.001800E-1	9.626323E-1	2.408314E-1	6.270000E+0
4.814199E-1	5.001816E-1	9.624902E-1	2.407974E-1	6.380000E+0
4.813491E-1	5.001835E-1	9.623450E-1	2.407629E-1	6.480000E+0
4.812869E-1	5.001813E-1	9.622249E-1	2.407307E-1	6.570000E+0
4.812284E-1	5.001820E-1	9.621066E-1	2.407018E-1	6.670000E+0
4.811691E-1	5.001874E-1	9.619777E-1	2.406747E-1	6.770000E+0
4.811171E-1	5.001844E-1	9.618795E-1	2.406473E-1	6.880000E+0
4.810683E-1	5.001901E-1	9.617709E-1	2.406256E-1	6.980000E+0
