Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
2.281656E-1	1.000010E-2	2.281633E+1	2.281679E-3	0.000000E+0
-5.004571E-1	-2.097245E-6	2.386260E+5	1.049581E-6	2.031300E-1
-9.997374E-1	-2.317799E-6	4.313305E+5	2.317190E-6	2.998100E-1
-1.498976E+0	-2.503728E-6	5.986976E+5	3.753028E-6	4.033200E-1
-2.001584E+0	-2.671335E-6	7.492823E+5	5.346901E-6	5.009800E-1
-2.500753E+0	-2.825236E-6	8.851484E+5	7.065217E-6	5.976600E-1
-2.999568E+0	-2.970191E-6	1.009891E+6	8.909290E-6	7.021500E-1
-3.498738E+0	-3.108964E-6	1.125371E+6	1.087745E-5	7.978500E-1
-4.001684E+0	-3.243855E-6	1.233620E+6	1.298088E-5	8.955100E-1
-4.500728E+0	-3.374111E-6	1.333900E+6	1.518596E-5	9.990200E-1
-4.999978E+0	-3.501342E-6	1.428018E+6	1.750663E-5	1.095700E+0
-5.499220E+0	-3.626317E-6	1.516475E+6	1.994191E-5	1.193360E+0
-6.001622E+0	-3.750194E-6	1.600350E+6	2.250725E-5	1.297850E+0
-6.500428E+0	-3.871679E-6	1.678969E+6	2.516757E-5	1.394530E+0
-6.999687E+0	-3.992442E-6	1.753234E+6	2.794584E-5	1.491210E+0
-7.498831E+0	-4.112185E-6	1.823564E+6	3.083658E-5	1.594730E+0
-8.001402E+0	-4.232068E-6	1.890660E+6	3.386248E-5	1.691410E+0
-8.500562E+0	-4.350723E-6	1.953827E+6	3.698359E-5	1.788090E+0
-8.999774E+0	-4.469081E-6	2.013786E+6	4.022072E-5	1.891600E+0
-9.498814E+0	-4.587338E-6	2.070659E+6	4.357427E-5	1.988280E+0
-1.000140E+1	-4.706436E-6	2.125047E+6	4.707095E-5	2.085940E+0
-1.050048E+1	-4.824857E-6	2.176330E+6	5.066331E-5	2.189450E+0
-1.099979E+1	-4.943558E-6	2.225076E+6	5.437810E-5	2.287110E+0
-1.149899E+1	-5.062616E-6	2.271353E+6	5.821497E-5	2.383790E+0
-1.200170E+1	-5.183044E-6	2.315570E+6	6.220534E-5	2.488280E+0
-1.250092E+1	-5.303212E-6	2.357236E+6	6.629503E-5	2.585940E+0
-1.300002E+1	-5.424045E-6	2.396739E+6	7.051269E-5	2.683590E+0
-1.349947E+1	-5.545640E-6	2.434249E+6	7.486320E-5	2.787110E+0
-1.400207E+1	-5.668954E-6	2.469957E+6	7.937709E-5	2.883790E+0
-1.450123E+1	-5.792453E-6	2.503470E+6	8.399769E-5	2.980470E+0
